City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Mackay,AU,88.68,scattered clouds,-21.15,149.2,International Lodge Motel
277,Sao Jose Da Coroa Grande,BR,76.95,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
280,Miragoane,HT,78.64,scattered clouds,18.4423,-73.0876,MMM K-TICHON
283,Florestopolis,BR,72.01,broken clouds,-22.8633,-51.3872,Rancho Caíque
288,Sao Joao Da Barra,BR,74.48,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
291,Malakal,SS,77.2,clear sky,9.5334,31.6605,Nile Palace Hotel
293,Saint-Joseph,RE,84.56,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
295,Nueva Germania,PY,74.28,clear sky,-23.9,-56.5667,Estancia Ña Luisa
297,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
298,Chone,EC,73.63,overcast clouds,-0.6833,-80.1,Ciudadela Gonzalez
302,Asind,IN,71.64,broken clouds,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
305,Buala,SB,79.21,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
311,Srandakan,ID,80.49,overcast clouds,-7.9386,110.2506,Puri Brata
315,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
317,Broken Hill,AU,80.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
321,Kandrian,PG,86.61,overcast clouds,-6.2167,149.55,Kandrian Station
324,Sao Filipe,CV,75.47,broken clouds,14.8961,-24.4956,Hotel Xaguate
327,Itaueira,BR,73.71,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
332,Kupang,ID,86.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
333,Rantepao,ID,78.44,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
334,Alta Floresta,BR,71.73,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
337,Mocuba,MZ,86.43,scattered clouds,-16.8392,36.9856,Phama Lodge
341,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
347,Alyangula,AU,84.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
349,Namatanai,PG,85.24,light rain,-3.6667,152.4333,Seagulls Inn Namatani
351,Luwuk,ID,85.44,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
356,Dhone,IN,80.82,scattered clouds,15.4167,77.8833,Pennera Rakesh
357,Randudongkal,ID,81.27,overcast clouds,-7.0981,109.3243,M N D P
359,Axim,GH,79.09,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
363,Ugep,NG,75.04,overcast clouds,5.8086,8.0812,Classic Bar
367,Alice Springs,AU,92.75,few clouds,-23.7,133.8833,Desert Palms Alice Springs
370,Dicabisagan,PH,76.71,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
372,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
378,Richards Bay,ZA,78.48,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
380,Tulagi,SB,82.62,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
382,Garissa,KE,78.73,light rain,-0.4536,39.6401,Sharif Plaza Hotel
385,Hervey Bay,AU,82.04,light rain,-25.2986,152.8535,Shelly Bay Resort
391,Ishigaki,JP,77.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
414,Isangel,VU,87.91,few clouds,-19.55,169.2667,Tanna Lodge
417,Ternate,ID,83.52,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
420,Ahipara,NZ,72.34,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
421,Yambio,SS,73.0,overcast clouds,4.5721,28.3955,Naivasha Hotel
422,Antalaha,MG,80.91,light rain,-14.9003,50.2788,Hotel Vitasoa
424,Takoradi,GH,78.8,scattered clouds,4.8845,-1.7554,Raybow International Hotel
427,Katobu,ID,77.25,heavy intensity rain,-4.9408,122.5276,La Ode Husein
428,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
431,Tuy Hoa,VN,71.69,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
437,Bhanpuri,IN,77.14,clear sky,21.1,80.9167,Bholaram Verma
438,Tame,CO,76.78,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
439,Diamantino,BR,73.33,light rain,-14.4086,-56.4461,Hotel Delta
441,Todos Santos,MX,75.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
442,Guimbal,PH,85.59,overcast clouds,10.6633,122.3228,Shamrock Beach Resort
443,Nabire,ID,91.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
444,Samana,DO,76.28,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
451,Mahibadhoo,MV,82.9,broken clouds,3.7833,72.9667,Omadhoo Inn
452,Vanimo,PG,86.31,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
453,Byron Bay,AU,81.05,light rain,-28.65,153.6167,Backpackers Inn
454,Labuhan,ID,81.88,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
455,Cockburn Town,TC,80.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
456,Sinnamary,GF,76.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
460,Yataity,PY,70.48,clear sky,-26.3667,-56.0667,Cristhian Ortigoza
462,Nishihara,JP,74.86,scattered clouds,26.1842,127.7558,Minshuku Agaihama
463,Pasni,PK,74.26,scattered clouds,25.2631,63.471,Kashmiri Hotal
468,Tura,IN,72.39,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
475,Martapura,ID,80.69,moderate rain,-3.4167,114.85,Montana Hotel Syariah
