City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Saint-Philippe,RE,2021-11-29 19:00:20,-21.3585,55.7679,76.55,87,56,8.28
164,Ornes,NO,2021-11-29 19:00:20,66.8689,13.7078,22.84,83,100,7.4
165,Collie,AU,2021-11-29 19:00:21,-33.3667,116.15,45.61,91,0,3.96
166,Atar,MR,2021-11-29 19:00:22,20.5169,-13.0499,69.12,22,5,10.65
167,Shiyan,CN,2021-11-29 19:00:22,32.6475,110.7781,38.91,82,0,5.91
168,Saint-Francois,FR,2021-11-29 19:00:23,46.4154,3.9054,34.68,93,90,3.44
169,Portland,US,2021-11-29 18:59:30,45.5234,-122.6762,59.09,93,90,8.01
170,Dandong,CN,2021-11-29 18:56:03,40.1292,124.3947,36.54,95,100,8.3
171,Lopez Mateos,MX,2021-11-29 19:00:24,15.4667,-93.0087,90.32,39,4,5.77
172,Nanortalik,GL,2021-11-29 18:52:14,60.1432,-45.2371,34.74,98,100,16.08
173,Talcahuano,CL,2021-11-29 19:00:25,-36.7167,-73.1167,60.89,70,5,19.73
174,Nelson Bay,AU,2021-11-29 18:50:38,-32.7167,152.15,67.08,91,100,9.01
175,Mucurapo,TT,2021-11-29 19:00:25,10.6667,-61.5333,87.03,65,67,11.92
176,Leningradskiy,RU,2021-11-29 19:00:26,69.3833,178.4167,-20.09,96,79,9.24
177,Acapulco,MX,2021-11-29 18:49:38,16.8634,-99.8901,84.31,60,1,6.02
178,Saint George,US,2021-11-29 18:49:45,37.1041,-113.5841,68.47,40,1,3.44
179,Praia,CV,2021-11-29 18:57:48,14.9215,-23.5087,77.54,65,20,23.02
180,Opuwo,NA,2021-11-29 19:00:27,-18.0607,13.84,80.1,22,66,7.34
181,Visby,SE,2021-11-29 18:57:21,57.6409,18.296,34.86,64,75,14.97
182,Maarianhamina,AX,2021-11-29 19:00:27,60.0973,19.9348,28.26,80,90,9.22
183,Vila Velha,BR,2021-11-29 18:50:53,-20.3297,-40.2925,84.15,85,20,11.99
184,Tiksi,RU,2021-11-29 19:00:28,71.6872,128.8694,-21.91,100,97,6.24
185,Cabedelo,BR,2021-11-29 18:51:08,-6.9811,-34.8339,82.99,68,75,12.53
186,Naze,JP,2021-11-29 19:00:29,28.3667,129.4833,66.96,69,89,16.22
187,Novyy Urgal,RU,2021-11-29 19:01:29,51.0736,132.5642,-2.09,98,100,0.36
188,Severo-Kurilsk,RU,2021-11-29 19:01:30,50.6789,156.125,34.84,95,99,22.75
189,Riyadh,SA,2021-11-29 18:59:07,24.6877,46.7219,64.54,27,0,6.73
190,Nouadhibou,MR,2021-11-29 19:01:31,20.931,-17.0347,69.37,56,100,20.6
191,Paciran,ID,2021-11-29 19:01:31,-6.8767,112.3761,78.08,83,93,4.81
192,Shangrao,CN,2021-11-29 19:01:32,28.4532,117.9686,58.71,74,100,10.83
193,Butaritari,KI,2021-11-29 19:01:32,3.0707,172.7902,81.1,81,33,11.59
194,Kondinskoye,RU,2021-11-29 19:01:33,59.6481,67.41,24.57,96,100,10.27
195,Vanimo,PG,2021-11-29 19:01:33,-2.6741,141.3028,77.95,87,100,1.48
196,Kholodnyy,RU,2021-11-29 19:01:34,62.7167,147.95,-19.43,99,100,2.62
197,Fortuna,US,2021-11-29 19:01:34,40.5982,-124.1573,57.92,52,1,1.99
198,Khatanga,RU,2021-11-29 19:01:35,71.9667,102.5,-27.67,100,95,5.12
199,Katsuura,JP,2021-11-29 19:01:35,35.1333,140.3,44.71,73,62,13.58
200,Touros,BR,2021-11-29 19:01:36,-5.1989,-35.4608,83.39,67,10,14.41
201,Kosonsoy,UZ,2021-11-29 19:01:36,41.2561,71.5508,34.36,25,8,5.53
202,Bubaque,GW,2021-11-29 18:52:27,11.2833,-15.8333,83.41,66,87,10.29
203,Borogontsy,RU,2021-11-29 19:01:37,62.6683,131.1683,-13.56,99,100,1.54
204,Tiznit,MA,2021-11-29 19:01:38,29.5833,-9.5,59.13,39,0,2.55
205,Ayagoz,KZ,2021-11-29 19:01:38,47.9714,80.4392,1.65,85,4,3.47
206,Yulara,AU,2021-11-29 19:01:39,-25.2406,130.9889,72.07,29,0,5.32
207,San Ramon,US,2021-11-29 18:58:53,37.7799,-121.978,67.05,66,0,1.01
208,Bilibino,RU,2021-11-29 19:01:40,68.0546,166.4372,-8.99,100,85,5.12
209,Tabou,CI,2021-11-29 19:01:41,4.423,-7.3528,80.19,77,100,6.62
210,Camacupa,AO,2021-11-29 18:52:36,-12.0167,17.4833,65.01,90,100,2.28
211,Yaizu,JP,2021-11-29 19:01:41,34.8667,138.3333,50.11,50,15,5.86
212,Mersing,MY,2021-11-29 19:01:42,2.4312,103.8405,77.81,83,100,3.42
213,Sao Joao Da Barra,BR,2021-11-29 19:01:42,-21.6403,-41.0511,77.54,84,2,13.02
214,Sinnamary,GF,2021-11-29 19:01:42,5.3833,-52.95,82.18,76,100,9.06
215,Kastamonu,TR,2021-11-29 19:01:43,41.5,33.6667,59.94,46,100,20.02
216,Hermanus,ZA,2021-11-29 19:01:44,-34.4187,19.2345,62.91,75,15,13.24
217,Clarence Town,AU,2021-11-29 18:52:22,-32.5833,151.7833,66.94,94,100,0.96
218,Dingle,PH,2021-11-29 19:01:44,10.9995,122.6711,74.89,92,18,6.31
219,Austin,US,2021-11-29 19:01:37,30.2672,-97.7431,73.33,43,1,4.0
220,Mahebourg,MU,2021-11-29 19:01:05,-20.4081,57.7,75.25,67,0,6.58
221,Pangkalanbuun,ID,2021-11-29 18:53:15,-2.6833,111.6167,73.09,98,73,2.15
222,Barsovo,RU,2021-11-29 19:01:45,61.1667,73.1667,24.93,94,100,14.65
223,Hambantota,LK,2021-11-29 19:01:46,6.1241,81.1185,78.01,84,88,4.54
224,Pochutla,MX,2021-11-29 18:51:47,15.7432,-96.4661,88.83,46,6,8.37
225,Tautira,PF,2021-11-29 19:01:42,-17.7333,-149.15,84.22,80,98,18.57
226,Stornoway,GB,2021-11-29 19:01:47,58.2093,-6.3865,44.92,93,75,3.0
227,Esperance,AU,2021-11-29 19:01:47,-33.8667,121.9,60.24,72,100,11.74
228,Barreirinha,BR,2021-11-29 19:01:48,-2.7933,-57.07,86.32,65,100,2.13
229,Castro,BR,2021-11-29 19:01:49,-24.7911,-50.0119,73.09,79,87,8.3
230,Murayama,JP,2021-11-29 19:01:49,38.5193,140.3346,37.2,85,100,2.37
231,Morondava,MG,2021-11-29 19:01:50,-20.2833,44.2833,76.44,76,0,7.74
232,Zamora,EC,2021-11-29 18:59:15,-4.0692,-78.9567,79.84,86,100,2.91
233,Sobolevo,RU,2021-11-29 19:02:50,54.4299,31.8996,41.07,98,100,8.16
234,Tessalit,ML,2021-11-29 19:02:51,20.1986,1.0114,77.04,20,2,11.43
235,Half Moon Bay,US,2021-11-29 19:02:52,37.4636,-122.4286,69.89,69,1,0.0
236,Liverpool,GB,2021-11-29 19:00:23,53.4106,-2.9779,48.61,92,90,5.01
237,The Valley,AI,2021-11-29 19:02:52,18.217,-63.0578,85.82,73,7,14.03
238,Viedma,AR,2021-11-29 19:02:53,-40.8135,-62.9967,74.12,26,0,18.01
239,Makakilo City,US,2021-11-29 19:02:53,21.3469,-158.0858,79.12,57,1,9.22
240,Ponta Delgada,PT,2021-11-29 19:02:54,37.7333,-25.6667,61.5,67,75,5.75
241,Dubbo,AU,2021-11-29 19:02:54,-32.25,148.6167,59.13,94,40,9.22
242,Charlestown,AU,2021-11-29 19:02:55,-32.95,151.6667,66.81,94,100,3.67
243,Proletarsk,RU,2021-11-29 19:02:56,46.7031,41.7192,54.55,59,100,14.76
244,Batemans Bay,AU,2021-11-29 18:58:49,-35.7167,150.1833,58.98,93,5,3.29
245,Chute-Aux-Outardes,CA,2021-11-29 19:02:56,49.1168,-68.399,28.33,57,20,3.8
246,Warrington,GB,2021-11-29 19:02:57,53.3925,-2.5802,48.22,99,75,4.0
247,Winnemucca,US,2021-11-29 19:02:57,40.973,-117.7357,50.11,40,1,5.75
248,Aasiaat,GL,2021-11-29 19:02:58,68.7098,-52.8699,32.23,100,100,6.67
249,Hovd,MN,2021-11-29 19:02:59,48.0056,91.6419,15.8,44,0,1.5
250,Praia Da Vitoria,PT,2021-11-29 19:02:59,38.7333,-27.0667,59.76,75,12,4.65
251,Obo,CF,2021-11-29 19:02:59,5.3998,26.4869,71.67,88,100,2.37
252,San Cristobal,VE,2021-11-29 19:03:00,7.7669,-72.225,81.07,57,94,7.07
253,Tarakan,ID,2021-11-29 19:03:00,3.3,117.6333,78.04,82,100,5.3
254,Luganville,VU,2021-11-29 19:03:01,-15.5333,167.1667,79.2,82,92,3.06
255,Labrea,BR,2021-11-29 19:03:01,-7.2586,-64.7981,85.37,69,100,2.77
256,Kenai,US,2021-11-29 19:03:02,60.5544,-151.2583,12.15,84,90,19.57
257,Nabire,ID,2021-11-29 19:03:02,-3.3667,135.4833,76.53,91,100,3.47
258,Bireun,ID,2021-11-29 19:03:03,5.203,96.7009,76.48,91,100,8.23
259,Conceicao Da Barra,BR,2021-11-29 19:01:11,-18.5933,-39.7322,81.93,75,43,10.8
